Cust_User,Email,Is_Student
harry3,harry3@gatech.edu,1
jane55,jane55@mit.edu,1
sal12,sal12@gatech.edu,1
dan2,dan2@gatech.edu,1
carrie1,carrie1@purdue.edu,1
hal8,capricorn1234@gatech.edu,1
jose99,jose99@gatech.edu,1
jill123,jill123@mit.edu,1
great1337,baritone@nyu.edu,1
sandy77,sandy77@berkley.edu,1
calzone96,pizzaman@pizzeria.com,0
andrew1,andy@pizzeria.com,0
chewy8,chewy@starwarsfandom.com,0
pleasant1,pgurl@chickenrights.gov,0
starwarsfan119,hansolofan@gmail.com,0
kyle9,kylesinger3@hotmail.com,0
kat74,katthewombat@wombatfan.com,0
hermione6,hgranger@gmail.com,0
potterfan5eva,dumblelove@aol.com,0
sarah9,sarah9999@gmail.com,0
